state,date,income_mean,income_median
Johor,01-01-76,513,370
Johor,01-01-79,731,518
Johor,01-01-89,1150,880
Johor,01-01-99,2646,2012
Johor,01-01-09,3835,2958
Johor,01-01-19,8013,6427
Johor,01-01-22,8517,6879
Kedah,01-01-76,306,193
Kedah,01-01-79,382,259
Kedah,01-01-89,749,552
Kedah,01-01-99,1612,1225
Kedah,01-01-09,2667,1966
Kedah,01-01-19,5522,4325
Kedah,01-01-22,5550,4402
Kelantan,01-01-76,269,163
Kelantan,01-01-79,341,256
Kelantan,01-01-89,712,528
Kelantan,01-01-99,1314,946
Kelantan,01-01-09,2536,1713
Kelantan,01-01-19,4874,3563
Kelantan,01-01-22,4885,3614
Melaka,01-01-76,568,350
Melaka,01-01-79,772,528
Melaka,01-01-89,1084,828
Melaka,01-01-99,2260,1715
Melaka,01-01-09,4184,3005
Melaka,01-01-19,7741,6054
Melaka,01-01-22,8057,6210
Negeri Sembilan,01-01-76,505,348
Negeri Sembilan,01-01-79,629,486
Negeri Sembilan,01-01-89,1083,842
Negeri Sembilan,01-01-99,2335,1777
Negeri Sembilan,01-01-09,3540,2711
Negeri Sembilan,01-01-19,6707,5005
Negeri Sembilan,01-01-22,6788,5226
Pahang,01-01-76,477,324
Pahang,01-01-79,702,481
Pahang,01-01-89,961,764
Pahang,01-01-99,1482,1202
Pahang,01-01-09,3279,2479
Pahang,01-01-19,5667,4440
Pahang,01-01-22,5777,4753
Perak,01-01-76,436,286
Perak,01-01-79,559,394
Perak,01-01-89,973,719
Perak,01-01-99,1743,1350
Perak,01-01-09,2809,2094
Perak,01-01-19,5645,4273
Perak,01-01-22,5779,4494
Perlis,01-01-76,338,196
Perlis,01-01-79,316,223
Perlis,01-01-89,817,635
Perlis,01-01-99,1431,1086
Perlis,01-01-09,2617,1832
Perlis,01-01-19,5476,4594
Perlis,01-01-22,5664,4713
Pulau Pinang,01-01-76,589,363
Pulau Pinang,01-01-79,840,534
Pulau Pinang,01-01-89,1326,988
Pulau Pinang,01-01-99,3128,2323
Pulau Pinang,01-01-09,4407,3200
Pulau Pinang,01-01-19,7774,6169
Pulau Pinang,01-01-22,8267,6502
Sabah,01-01-76,513,309
Sabah,01-01-79,767,493
Sabah,01-01-89,1264,863
Sabah,01-01-99,1905,1264
Sabah,01-01-09,3102,2066
Sabah,01-01-19,5745,4235
Sabah,01-01-22,6171,4577
Sarawak,01-01-76,426,260
Sarawak,01-01-79,582,365
Sarawak,01-01-89,1190,819
Sarawak,01-01-99,2276,1667
Sarawak,01-01-09,3581,2394
Sarawak,01-01-19,5959,4544
Sarawak,01-01-22,6457,4978
Selangor,01-01-76,735,441
Selangor,01-01-79,1067,647
Selangor,01-01-89,1658,1145
Selangor,01-01-99,3702,2750
Selangor,01-01-09,5962,4306
Selangor,01-01-19,10827,8210
Selangor,01-01-22,12233,9983
Terengganu,01-01-76,339,199
Terengganu,01-01-79,360,258
Terengganu,01-01-89,759,520
Terengganu,01-01-99,1599,1155
Terengganu,01-01-09,3017,2096
Terengganu,01-01-19,6815,5545
Terengganu,01-01-22,7248,5878
